Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1768,0,4400,5008.012443438914,1314,12097,10553.002262443439,2.9962748731893165,0.0,4400,5100,5700,6300,8700,9600,10000,11000,12000,12000,12000
GET,/cart,4456,0,3700,3848.8386445242368,1097,9019,13450.132630161579,7.551697304825563,0.0,3700,4200,4500,4700,5300,5800,6400,6900,8300,9000,9000
POST,/cart,4477,0,5500,5619.459236095599,2001,11809,18008.805896805898,7.587286542572721,0.0,5500,6000,6500,6700,7500,8100,8800,9400,11000,12000,12000
POST,/cart/checkout,1504,12,3200,3177.9175531914893,179,8103,6793.341090425532,2.5488673129393282,0.020336707284090386,3200,3500,3700,3800,4300,4700,5300,5800,7500,8100,8100
GET,/product/0PUK6V6EV0,2152,0,3600,3724.113382899628,1480,10077,7909.862918215614,3.647049506280209,0.0,3600,4000,4300,4500,5000,5500,6000,6700,8500,10000,10000
GET,/product/1YMWWN1N4O,2184,0,3600,3725.496794871795,1310,9109,7931.097985347986,3.70128072570445,0.0,3600,4000,4300,4500,5000,5500,6100,6500,8700,9100,9100
GET,/product/2ZYFJ3GM2N,2142,0,3600,3700.753968253968,1217,10012,7935.3510737628385,3.630102250210134,0.0,3600,4000,4300,4400,4900,5400,6200,6800,9700,10000,10000
GET,/product/66VCHSJNUP,2215,0,3600,3696.2099322799095,1083,9008,7903.440180586907,3.7538172195216837,0.0,3600,4000,4200,4400,4900,5500,6100,6500,8200,9000,9000
GET,/product/6E92ZMYYFZ,2148,0,3600,3711.6987895716948,1047,10503,7890.192271880819,3.640270603852179,0.0,3600,4000,4300,4400,4900,5500,6200,6600,8800,11000,11000
GET,/product/9SIQT8TOJO,2099,0,3600,3725.5135778942354,1240,7921,7939.3034778465935,3.55722904910881,0.0,3600,4000,4300,4500,5000,5500,6100,6600,7800,7900,7900
GET,/product/L9ECAV7KIM,2151,0,3600,3748.608089260809,1463,9387,7904.8437935843795,3.6453547806732014,0.0,3600,4000,4300,4500,5000,5500,6000,6400,9200,9400,9400
GET,/product/LS4PSXUNUM,2186,0,3600,3745.490393412626,1335,9648,7907.210887465691,3.704670176918465,0.0,3600,4000,4300,4500,5000,5500,6200,6800,8700,9600,9600
GET,/product/OLJCESPC7Z,2058,0,3500,3666.7696793002915,1166,8338,7940.208454810496,3.487745299221501,0.0,3500,4000,4200,4400,4900,5400,6100,6700,8000,8300,8300
POST,/setCurrency,2962,0,4600,4778.653950033761,1738,12560,10567.042876434842,5.01977724795631,0.0,4600,5100,5500,5700,6500,7300,8400,9200,12000,13000,13000
,Aggregated,34502,12,3900,4114.296562518115,179,12560,10255.145672714625,58.47142289297387,0.020336707284090386,3900,4400,4800,5000,5900,6700,7800,8700,11000,12000,13000
