Method,Name,Error,Occurrences
GET,/product/2ZYFJ3GM2N,"ConnectionRefusedError(111, 'Connection refused')",19
GET,/product/0PUK6V6EV0,"ConnectionRefusedError(111, 'Connection refused')",19
GET,/product/1YMWWN1N4O,"ConnectionRefusedError(111, 'Connection refused')",30
GET,/product/OLJCESPC7Z,"ConnectionRefusedError(111, 'Connection refused')",13
POST,/cart,"ConnectionRefusedError(111, 'Connection refused')",37
GET,/,"ConnectionRefusedError(111, 'Connection refused')",208
POST,/setCurrency,"ConnectionRefusedError(111, 'Connection refused')",15
POST,/cart/checkout,"ConnectionRefusedError(111, 'Connection refused')",13
GET,/product/66VCHSJNUP,"ConnectionRefusedError(111, 'Connection refused')",13
GET,/cart,"ConnectionRefusedError(111, 'Connection refused')",36
GET,/product/9SIQT8TOJO,"ConnectionRefusedError(111, 'Connection refused')",27
GET,/product/6E92ZMYYFZ,"ConnectionRefusedError(111, 'Connection refused')",14
GET,/product/L9ECAV7KIM,"ConnectionRefusedError(111, 'Connection refused')",15
GET,/product/LS4PSXUNUM,"ConnectionRefusedError(111, 'Connection refused')",16
